"User Type","Gebruikerstype"
"User type ""%s"" no longer exists","Gebruikerstype ""%s"" bestaat niet langer"
"User type ""%s"" not found.","Gebruikerstype ""%s"" niet gevonden"
"Web Services","Webservices"
"Web services","Webservices"
"Write","Schrijf"
"ZIP/Postal Code","Postcode"
"%s role is a special one and can't be changed.","%s is een speciale rol en kan niet worden gewijzigd."
"%s role is a special one and can't be deleted.","%s is een speciale rol en kan niet worden verwijderd."
"%s role is protected.","De rol %s is beveiligd"
